,time,上限價格,下限價格,交易方式,基本資料,履約價格,本日漲停,本日跌停,標的名稱,每千單位認購(售)股數,每單位參考履約價值,行情資訊,證券代碼,開盤競價基準
0,2020-02-27 15:49:28,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
1,2020-02-27 15:49:43,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
2,2020-02-27 15:50:39,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
3,2020-02-27 15:52:32,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
4,2020-02-27 15:54:24,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
5,2020-02-27 18:21:05,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
6,2020-02-27 18:21:29,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
7,2020-02-27 18:22:18,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
8,2020-02-27 18:23:29,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
9,2020-02-27 18:24:43,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,46900,1.87
10,2020-02-27 21:36:24,無,無,普通交易,公開資訊觀測站,29.0,2.92,0.82,旺宏,306,1.79,五檔資訊,046900,1.87
